Melhor Distribuição para BP-7:
Total de Bins Usados: 403
Perda Percentual: 1.13%

Bin 1 (Soma: 150/150): [100, 50]
Bin 2 (Soma: 150/150): [100, 50]
Bin 3 (Soma: 150/150): [100, 50]
Bin 4 (Soma: 150/150): [100, 50]
Bin 5 (Soma: 150/150): [100, 50]
Bin 6 (Soma: 150/150): [100, 50]
Bin 7 (Soma: 150/150): [100, 50]
Bin 8 (Soma: 150/150): [100, 50]
Bin 9 (Soma: 150/150): [100, 50]
Bin 10 (Soma: 150/150): [100, 50]
Bin 11 (Soma: 150/150): [100, 50]
Bin 12 (Soma: 150/150): [100, 50]
Bin 13 (Soma: 149/150): [100, 49]
Bin 14 (Soma: 149/150): [100, 49]
Bin 15 (Soma: 149/150): [100, 49]
Bin 16 (Soma: 150/150): [99, 51]
Bin 17 (Soma: 150/150): [99, 51]
Bin 18 (Soma: 150/150): [99, 51]
Bin 19 (Soma: 150/150): [99, 51]
Bin 20 (Soma: 150/150): [99, 51]
Bin 21 (Soma: 150/150): [99, 51]
Bin 22 (Soma: 150/150): [99, 51]
Bin 23 (Soma: 148/150): [99, 49]
Bin 24 (Soma: 148/150): [99, 49]
Bin 25 (Soma: 148/150): [99, 49]
Bin 26 (Soma: 150/150): [98, 52]
Bin 27 (Soma: 150/150): [98, 52]
Bin 28 (Soma: 150/150): [98, 52]
Bin 29 (Soma: 150/150): [98, 52]
Bin 30 (Soma: 150/150): [98, 52]
Bin 31 (Soma: 150/150): [98, 52]
Bin 32 (Soma: 150/150): [98, 52]
Bin 33 (Soma: 150/150): [98, 52]
Bin 34 (Soma: 150/150): [98, 52]
Bin 35 (Soma: 147/150): [98, 49]
Bin 36 (Soma: 147/150): [98, 49]
Bin 37 (Soma: 147/150): [98, 49]
Bin 38 (Soma: 147/150): [98, 49]
Bin 39 (Soma: 146/150): [98, 48]
Bin 40 (Soma: 146/150): [98, 48]
Bin 41 (Soma: 146/150): [98, 48]
Bin 42 (Soma: 150/150): [97, 53]
Bin 43 (Soma: 150/150): [97, 53]
Bin 44 (Soma: 150/150): [97, 53]
Bin 45 (Soma: 150/150): [97, 53]
Bin 46 (Soma: 150/150): [97, 53]
Bin 47 (Soma: 150/150): [97, 53]
Bin 48 (Soma: 150/150): [97, 53]
Bin 49 (Soma: 150/150): [97, 53]
Bin 50 (Soma: 150/150): [97, 53]
Bin 51 (Soma: 150/150): [97, 53]
Bin 52 (Soma: 150/150): [97, 53]
Bin 53 (Soma: 150/150): [97, 53]
Bin 54 (Soma: 150/150): [97, 53]
Bin 55 (Soma: 150/150): [97, 53]
Bin 56 (Soma: 150/150): [97, 53]
Bin 57 (Soma: 150/150): [97, 53]
Bin 58 (Soma: 150/150): [97, 53]
Bin 59 (Soma: 150/150): [96, 54]
Bin 60 (Soma: 150/150): [96, 54]
Bin 61 (Soma: 150/150): [96, 54]
Bin 62 (Soma: 150/150): [96, 54]
Bin 63 (Soma: 150/150): [96, 54]
Bin 64 (Soma: 150/150): [96, 54]
Bin 65 (Soma: 150/150): [96, 54]
Bin 66 (Soma: 150/150): [96, 54]
Bin 67 (Soma: 149/150): [96, 53]
Bin 68 (Soma: 149/150): [96, 53]
Bin 69 (Soma: 150/150): [95, 55]
Bin 70 (Soma: 150/150): [95, 55]
Bin 71 (Soma: 150/150): [95, 55]
Bin 72 (Soma: 150/150): [95, 55]
Bin 73 (Soma: 150/150): [95, 55]
Bin 74 (Soma: 150/150): [95, 55]
Bin 75 (Soma: 150/150): [95, 55]
Bin 76 (Soma: 150/150): [95, 55]
Bin 77 (Soma: 150/150): [95, 55]
Bin 78 (Soma: 150/150): [95, 55]
Bin 79 (Soma: 150/150): [95, 55]
Bin 80 (Soma: 150/150): [95, 55]
