Resultado BP-7 com Inicial BFD
Bins Usados: 403
Perda: 1.13%

Bin 1 (150/150): [100, 50]
Bin 2 (150/150): [100, 50]
Bin 3 (150/150): [100, 50]
Bin 4 (150/150): [100, 50]
Bin 5 (150/150): [100, 50]
Bin 6 (150/150): [100, 50]
Bin 7 (150/150): [100, 50]
Bin 8 (150/150): [100, 50]
Bin 9 (150/150): [100, 50]
Bin 10 (150/150): [100, 50]
Bin 11 (150/150): [100, 50]
Bin 12 (150/150): [100, 50]
Bin 13 (149/150): [100, 49]
Bin 14 (149/150): [100, 49]
Bin 15 (149/150): [100, 49]
Bin 16 (150/150): [99, 51]
Bin 17 (150/150): [99, 51]
Bin 18 (150/150): [99, 51]
Bin 19 (150/150): [99, 51]
Bin 20 (150/150): [99, 51]
Bin 21 (150/150): [99, 51]
Bin 22 (150/150): [99, 51]
Bin 23 (148/150): [99, 49]
Bin 24 (148/150): [99, 49]
Bin 25 (148/150): [99, 49]
Bin 26 (150/150): [98, 52]
Bin 27 (150/150): [98, 52]
Bin 28 (150/150): [98, 52]
Bin 29 (150/150): [98, 52]
Bin 30 (150/150): [98, 52]
Bin 31 (150/150): [98, 52]
Bin 32 (150/150): [98, 52]
Bin 33 (150/150): [98, 52]
Bin 34 (150/150): [98, 52]
Bin 35 (147/150): [98, 49]
Bin 36 (147/150): [98, 49]
Bin 37 (147/150): [98, 49]
Bin 38 (147/150): [98, 49]
Bin 39 (146/150): [98, 48]
Bin 40 (146/150): [98, 48]
Bin 41 (146/150): [98, 48]
Bin 42 (150/150): [97, 53]
Bin 43 (150/150): [97, 53]
Bin 44 (150/150): [97, 53]
Bin 45 (150/150): [97, 53]
Bin 46 (150/150): [97, 53]
Bin 47 (150/150): [97, 53]
Bin 48 (150/150): [97, 53]
Bin 49 (150/150): [97, 53]
Bin 50 (150/150): [97, 53]
Bin 51 (150/150): [97, 53]
Bin 52 (150/150): [97, 53]
Bin 53 (150/150): [97, 53]
Bin 54 (150/150): [97, 53]
Bin 55 (150/150): [97, 53]
Bin 56 (150/150): [97, 53]
Bin 57 (150/150): [97, 53]
Bin 58 (150/150): [97, 53]
Bin 59 (150/150): [96, 54]
Bin 60 (150/150): [96, 54]
Bin 61 (150/150): [96, 54]
Bin 62 (150/150): [96, 54]
Bin 63 (150/150): [96, 54]
Bin 64 (150/150): [96, 54]
Bin 65 (150/150): [96, 54]
Bin 66 (150/150): [96, 54]
Bin 67 (149/150): [96, 53]
Bin 68 (149/150): [96, 53]
Bin 69 (150/150): [95, 55]
Bin 70 (150/150): [95, 55]
Bin 71 (150/150): [95, 55]
Bin 72 (150/150): [95, 55]
Bin 73 (150/150): [95, 55]
Bin 74 (150/150): [95, 55]
Bin 75 (150/150): [95, 55]
Bin 76 (150/150): [95, 55]
Bin 77 (150/150): [95, 55]
Bin 78 (150/150): [95, 55]
Bin 79 (150/150): [95, 55]
Bin 80 (150/150): [95, 55]
Bin 81 (150/150): [95, 55]
Bin 82 (150/150): [95, 55]
Bin 83 (150/150): [94, 56]
Bin 84 (150/150): [94, 56]
Bin 85 (150/150): [94, 56]
Bin 86 (150/150): [94, 56]
Bin 87 (150/150): [94, 56]
Bin 88 (150/150): [94, 56]
Bin 89 (150/150): [94, 56]
Bin 90 (150/150): [94, 56]
Bin 91 (150/150): [94, 56]
Bin 92 (150/150): [93, 57]
Bin 93 (150/150): [93, 57]
Bin 94 (150/150): [93, 57]
Bin 95 (150/150): [92, 58]
Bin 96 (150/150): [92, 58]
Bin 97 (150/150): [92, 58]
Bin 98 (150/150): [92, 58]
Bin 99 (150/150): [92, 58]
Bin 100 (150/150): [92, 58]
Bin 101 (150/150): [92, 58]
Bin 102 (150/150): [92, 58]
Bin 103 (150/150): [92, 58]
Bin 104 (150/150): [92, 58]
Bin 105 (150/150): [92, 58]
Bin 106 (149/150): [92, 57]
Bin 107 (149/150): [92, 57]
Bin 108 (149/150): [92, 57]
Bin 109 (149/150): [92, 57]
Bin 110 (150/150): [91, 59]
Bin 111 (150/150): [91, 59]
Bin 112 (150/150): [91, 59]
Bin 113 (150/150): [91, 59]
Bin 114 (150/150): [91, 59]
Bin 115 (150/150): [91, 59]
Bin 116 (150/150): [91, 59]
Bin 117 (150/150): [91, 59]
Bin 118 (150/150): [91, 59]
Bin 119 (150/150): [91, 59]
Bin 120 (148/150): [91, 57]
Bin 121 (148/150): [91, 57]
Bin 122 (148/150): [91, 57]
Bin 123 (148/150): [91, 57]
Bin 124 (148/150): [91, 57]
Bin 125 (150/150): [90, 60]
Bin 126 (150/150): [90, 60]
Bin 127 (150/150): [90, 60]
Bin 128 (150/150): [90, 60]
Bin 129 (150/150): [90, 60]
Bin 130 (150/150): [90, 60]
Bin 131 (150/150): [90, 60]
Bin 132 (150/150): [90, 60]
Bin 133 (150/150): [90, 60]
Bin 134 (150/150): [90, 60]
Bin 135 (150/150): [90, 60]
Bin 136 (150/150): [90, 60]
Bin 137 (150/150): [90, 60]
Bin 138 (150/150): [89, 61]
Bin 139 (150/150): [89, 61]
Bin 140 (150/150): [89, 61]
Bin 141 (150/150): [89, 61]
Bin 142 (150/150): [89, 61]
Bin 143 (150/150): [89, 61]
Bin 144 (150/150): [89, 61]
Bin 145 (150/150): [89, 61]
Bin 146 (150/150): [88, 62]
Bin 147 (150/150): [88, 62]
Bin 148 (150/150): [88, 62]
Bin 149 (150/150): [88, 62]
Bin 150 (150/150): [88, 62]
Bin 151 (150/150): [88, 62]
Bin 152 (150/150): [88, 62]
Bin 153 (150/150): [88, 62]
Bin 154 (150/150): [88, 62]
Bin 155 (150/150): [88, 62]
Bin 156 (150/150): [88, 62]
Bin 157 (150/150): [88, 62]
Bin 158 (150/150): [88, 62]
Bin 159 (150/150): [87, 63]
Bin 160 (150/150): [87, 63]
Bin 161 (150/150): [87, 63]
Bin 162 (150/150): [87, 63]
Bin 163 (150/150): [87, 63]
Bin 164 (150/150): [87, 63]
Bin 165 (150/150): [87, 63]
Bin 166 (148/150): [87, 61]
Bin 167 (148/150): [87, 61]
Bin 168 (148/150): [87, 61]
Bin 169 (150/150): [86, 64]
Bin 170 (150/150): [86, 64]
Bin 171 (150/150): [86, 64]
Bin 172 (150/150): [86, 64]
Bin 173 (150/150): [86, 64]
Bin 174 (150/150): [86, 64]
