Resultado BP-6 com Inicial FLD
Bins Usados: 201
Perda: 1.70%

Bin 1 (150/150): [100, 50]
Bin 2 (150/150): [100, 50]
Bin 3 (150/150): [100, 50]
Bin 4 (150/150): [100, 50]
Bin 5 (149/150): [100, 49]
Bin 6 (149/150): [100, 49]
Bin 7 (150/150): [99, 51]
Bin 8 (150/150): [99, 51]
Bin 9 (148/150): [99, 49]
Bin 10 (150/150): [98, 52]
Bin 11 (150/150): [98, 52]
Bin 12 (150/150): [98, 52]
Bin 13 (147/150): [98, 49]
Bin 14 (147/150): [98, 49]
Bin 15 (147/150): [98, 49]
Bin 16 (146/150): [98, 48]
Bin 17 (146/150): [98, 48]
Bin 18 (146/150): [98, 48]
Bin 19 (146/150): [98, 48]
Bin 20 (150/150): [97, 53]
Bin 21 (150/150): [97, 53]
Bin 22 (150/150): [97, 53]
Bin 23 (150/150): [97, 53]
Bin 24 (150/150): [97, 53]
Bin 25 (150/150): [97, 53]
Bin 26 (150/150): [97, 53]
Bin 27 (150/150): [97, 53]
Bin 28 (150/150): [97, 53]
Bin 29 (150/150): [96, 54]
Bin 30 (150/150): [96, 54]
Bin 31 (150/150): [96, 54]
Bin 32 (144/150): [96, 48]
Bin 33 (144/150): [96, 48]
Bin 34 (143/150): [96, 47]
Bin 35 (150/150): [95, 55]
Bin 36 (150/150): [95, 55]
Bin 37 (150/150): [95, 55]
Bin 38 (150/150): [95, 55]
Bin 39 (150/150): [95, 55]
Bin 40 (142/150): [95, 47]
Bin 41 (142/150): [95, 47]
Bin 42 (150/150): [94, 56]
Bin 43 (150/150): [94, 56]
Bin 44 (141/150): [94, 47]
Bin 45 (141/150): [94, 47]
Bin 46 (150/150): [93, 57]
Bin 47 (150/150): [93, 57]
Bin 48 (150/150): [92, 58]
Bin 49 (150/150): [92, 58]
Bin 50 (150/150): [92, 58]
Bin 51 (150/150): [92, 58]
Bin 52 (150/150): [92, 58]
Bin 53 (150/150): [92, 58]
Bin 54 (150/150): [91, 59]
Bin 55 (150/150): [91, 59]
Bin 56 (150/150): [91, 59]
Bin 57 (150/150): [91, 59]
Bin 58 (150/150): [91, 59]
Bin 59 (148/150): [91, 57]
Bin 60 (148/150): [91, 57]
Bin 61 (150/150): [90, 60]
Bin 62 (150/150): [90, 60]
Bin 63 (150/150): [90, 60]
Bin 64 (150/150): [90, 60]
Bin 65 (150/150): [90, 60]
Bin 66 (150/150): [90, 60]
Bin 67 (150/150): [90, 60]
Bin 68 (150/150): [90, 60]
Bin 69 (147/150): [90, 57]
Bin 70 (150/150): [89, 61]
Bin 71 (150/150): [89, 61]
Bin 72 (150/150): [88, 62]
Bin 73 (150/150): [88, 62]
Bin 74 (150/150): [88, 62]
Bin 75 (150/150): [88, 62]
Bin 76 (150/150): [87, 63]
Bin 77 (150/150): [87, 63]
Bin 78 (150/150): [87, 63]
Bin 79 (150/150): [86, 64]
Bin 80 (150/150): [86, 64]
Bin 81 (150/150): [86, 64]
Bin 82 (150/150): [86, 64]
Bin 83 (150/150): [85, 65]
Bin 84 (150/150): [85, 65]
Bin 85 (150/150): [85, 65]
Bin 86 (150/150): [85, 65]
Bin 87 (149/150): [85, 64]
Bin 88 (150/150): [84, 66]
Bin 89 (150/150): [84, 66]
Bin 90 (150/150): [84, 66]
Bin 91 (150/150): [84, 66]
Bin 92 (150/150): [84, 66]
Bin 93 (150/150): [84, 66]
Bin 94 (150/150): [84, 66]
Bin 95 (148/150): [84, 64]
Bin 96 (148/150): [84, 64]
Bin 97 (146/150): [84, 62]
Bin 98 (146/150): [84, 62]
Bin 99 (145/150): [84, 61]
Bin 100 (150/150): [83, 67]
Bin 101 (150/150): [83, 67]
Bin 102 (150/150): [83, 67]
Bin 103 (150/150): [83, 67]
Bin 104 (150/150): [82, 68]
Bin 105 (150/150): [82, 68]
Bin 106 (150/150): [82, 68]
Bin 107 (150/150): [82, 68]
Bin 108 (149/150): [82, 67]
Bin 109 (150/150): [81, 69]
Bin 110 (150/150): [81, 69]
Bin 111 (150/150): [81, 69]
Bin 112 (150/150): [81, 69]
Bin 113 (150/150): [81, 69]
Bin 114 (148/150): [81, 67]
Bin 115 (148/150): [81, 67]
Bin 116 (150/150): [80, 70]
Bin 117 (150/150): [80, 70]
Bin 118 (150/150): [80, 70]
Bin 119 (150/150): [80, 70]
Bin 120 (150/150): [80, 70]
Bin 121 (150/150): [80, 70]
Bin 122 (150/150): [80, 70]
Bin 123 (150/150): [80, 70]
Bin 124 (150/150): [80, 70]
Bin 125 (147/150): [80, 67]
Bin 126 (147/150): [80, 67]
Bin 127 (147/150): [80, 67]
Bin 128 (141/150): [80, 61]
Bin 129 (150/150): [79, 71]
Bin 130 (150/150): [79, 71]
Bin 131 (150/150): [79, 71]
Bin 132 (150/150): [79, 71]
Bin 133 (150/150): [79, 71]
Bin 134 (150/150): [79, 71]
Bin 135 (140/150): [79, 61]
Bin 136 (136/150): [79, 57]
Bin 137 (150/150): [78, 72]
Bin 138 (150/150): [78, 72]
Bin 139 (150/150): [78, 72]
Bin 140 (135/150): [78, 57]
Bin 141 (135/150): [78, 57]
Bin 142 (135/150): [78, 57]
Bin 143 (135/150): [78, 57]
Bin 144 (150/150): [78, 47, 25]
Bin 145 (150/150): [77, 73]
Bin 146 (150/150): [76, 74]
Bin 147 (150/150): [76, 74]
Bin 148 (150/150): [76, 74]
Bin 149 (150/150): [76, 74]
Bin 150 (150/150): [76, 74]
Bin 151 (150/150): [76, 74]
Bin 152 (150/150): [75, 75]
Bin 153 (150/150): [75, 75]
Bin 154 (148/150): [75, 73]
Bin 155 (146/150): [73, 73]
Bin 156 (146/150): [73, 73]
Bin 157 (146/150): [73, 73]
Bin 158 (139/150): [47, 46, 46]
Bin 159 (138/150): [46, 46, 46]
Bin 160 (138/150): [46, 46, 46]
Bin 161 (137/150): [46, 46, 45]
Bin 162 (135/150): [45, 45, 45]
Bin 163 (135/150): [45, 45, 45]
Bin 164 (135/150): [45, 45, 45]
Bin 165 (132/150): [44, 44, 44]
Bin 166 (131/150): [44, 44, 43]
Bin 167 (150/150): [43, 43, 43, 21]
Bin 168 (150/150): [43, 43, 43, 21]
Bin 169 (150/150): [43, 43, 42, 22]
Bin 170 (150/150): [42, 42, 42, 24]
Bin 171 (150/150): [42, 42, 42, 24]
