Resultado BP-7 com Inicial LFD
Bins Usados: 403
Perda: 1.13%

Bin 1 (148/150): [100, 48]
Bin 2 (148/150): [100, 48]
Bin 3 (148/150): [100, 48]
Bin 4 (149/150): [100, 49]
Bin 5 (149/150): [100, 49]
Bin 6 (149/150): [100, 49]
Bin 7 (149/150): [100, 49]
Bin 8 (149/150): [100, 49]
Bin 9 (149/150): [100, 49]
Bin 10 (149/150): [100, 49]
Bin 11 (149/150): [100, 49]
Bin 12 (149/150): [100, 49]
Bin 13 (149/150): [100, 49]
Bin 14 (150/150): [100, 50]
Bin 15 (150/150): [100, 50]
Bin 16 (149/150): [99, 50]
Bin 17 (149/150): [99, 50]
Bin 18 (149/150): [99, 50]
Bin 19 (149/150): [99, 50]
Bin 20 (149/150): [99, 50]
Bin 21 (149/150): [99, 50]
Bin 22 (149/150): [99, 50]
Bin 23 (149/150): [99, 50]
Bin 24 (149/150): [99, 50]
Bin 25 (149/150): [99, 50]
Bin 26 (149/150): [98, 51]
Bin 27 (149/150): [98, 51]
Bin 28 (149/150): [98, 51]
Bin 29 (149/150): [98, 51]
Bin 30 (149/150): [98, 51]
Bin 31 (149/150): [98, 51]
Bin 32 (149/150): [98, 51]
Bin 33 (150/150): [98, 52]
Bin 34 (150/150): [98, 52]
Bin 35 (150/150): [98, 52]
Bin 36 (150/150): [98, 52]
Bin 37 (150/150): [98, 52]
Bin 38 (150/150): [98, 52]
Bin 39 (150/150): [98, 52]
Bin 40 (150/150): [98, 52]
Bin 41 (150/150): [98, 52]
Bin 42 (150/150): [97, 53]
Bin 43 (150/150): [97, 53]
Bin 44 (150/150): [97, 53]
Bin 45 (150/150): [97, 53]
Bin 46 (150/150): [97, 53]
Bin 47 (150/150): [97, 53]
Bin 48 (150/150): [97, 53]
Bin 49 (150/150): [97, 53]
Bin 50 (150/150): [97, 53]
Bin 51 (150/150): [97, 53]
Bin 52 (150/150): [97, 53]
Bin 53 (150/150): [97, 53]
Bin 54 (150/150): [97, 53]
Bin 55 (150/150): [97, 53]
Bin 56 (150/150): [97, 53]
Bin 57 (150/150): [97, 53]
Bin 58 (150/150): [97, 53]
Bin 59 (149/150): [96, 53]
Bin 60 (149/150): [96, 53]
Bin 61 (150/150): [96, 54]
Bin 62 (150/150): [96, 54]
