Resultado BP-7 com Inicial WFD
Bins Usados: 403
Perda: 1.13%

Bin 1 (150/150): [100, 50]
Bin 2 (150/150): [100, 50]
Bin 3 (149/150): [100, 49]
Bin 4 (149/150): [100, 49]
Bin 5 (149/150): [100, 49]
Bin 6 (149/150): [100, 49]
Bin 7 (149/150): [100, 49]
Bin 8 (149/150): [100, 49]
Bin 9 (149/150): [100, 49]
Bin 10 (149/150): [100, 49]
Bin 11 (149/150): [100, 49]
Bin 12 (149/150): [100, 49]
Bin 13 (148/150): [100, 48]
Bin 14 (148/150): [100, 48]
Bin 15 (148/150): [100, 48]
Bin 16 (149/150): [99, 50]
Bin 17 (149/150): [99, 50]
Bin 18 (149/150): [99, 50]
Bin 19 (149/150): [99, 50]
Bin 20 (149/150): [99, 50]
Bin 21 (149/150): [99, 50]
Bin 22 (149/150): [99, 50]
Bin 23 (149/150): [99, 50]
Bin 24 (149/150): [99, 50]
Bin 25 (149/150): [99, 50]
Bin 26 (150/150): [98, 52]
Bin 27 (150/150): [98, 52]
Bin 28 (150/150): [98, 52]
Bin 29 (150/150): [98, 52]
Bin 30 (150/150): [98, 52]
Bin 31 (150/150): [98, 52]
Bin 32 (150/150): [98, 52]
Bin 33 (150/150): [98, 52]
Bin 34 (150/150): [98, 52]
Bin 35 (149/150): [98, 51]
Bin 36 (149/150): [98, 51]
Bin 37 (149/150): [98, 51]
Bin 38 (149/150): [98, 51]
Bin 39 (149/150): [98, 51]
Bin 40 (149/150): [98, 51]
Bin 41 (149/150): [98, 51]
Bin 42 (150/150): [97, 53]
Bin 43 (150/150): [97, 53]
Bin 44 (150/150): [97, 53]
Bin 45 (150/150): [97, 53]
Bin 46 (150/150): [97, 53]
Bin 47 (150/150): [97, 53]
Bin 48 (150/150): [97, 53]
Bin 49 (150/150): [97, 53]
Bin 50 (150/150): [97, 53]
Bin 51 (150/150): [97, 53]
Bin 52 (150/150): [97, 53]
Bin 53 (150/150): [97, 53]
Bin 54 (150/150): [97, 53]
Bin 55 (150/150): [97, 53]
Bin 56 (150/150): [97, 53]
Bin 57 (150/150): [97, 53]
Bin 58 (150/150): [97, 53]
Bin 59 (150/150): [96, 54]
Bin 60 (150/150): [96, 54]
Bin 61 (150/150): [96, 54]
Bin 62 (150/150): [96, 54]
Bin 63 (150/150): [96, 54]
Bin 64 (150/150): [96, 54]
Bin 65 (150/150): [96, 54]
Bin 66 (150/150): [96, 54]
Bin 67 (149/150): [96, 53]
Bin 68 (149/150): [96, 53]
Bin 69 (150/150): [95, 55]
Bin 70 (150/150): [95, 55]
Bin 71 (150/150): [95, 55]
Bin 72 (150/150): [95, 55]
Bin 73 (150/150): [95, 55]
Bin 74 (150/150): [95, 55]
Bin 75 (150/150): [95, 55]
Bin 76 (150/150): [95, 55]
Bin 77 (150/150): [95, 55]
Bin 78 (150/150): [95, 55]
Bin 79 (150/150): [95, 55]
Bin 80 (150/150): [95, 55]
Bin 81 (150/150): [95, 55]
Bin 82 (150/150): [95, 55]
Bin 83 (150/150): [94, 56]
Bin 84 (150/150): [94, 56]
Bin 85 (150/150): [94, 56]
Bin 86 (150/150): [94, 56]
Bin 87 (150/150): [94, 56]
Bin 88 (150/150): [94, 56]
Bin 89 (150/150): [94, 56]
Bin 90 (150/150): [94, 56]
Bin 91 (150/150): [94, 56]
Bin 92 (150/150): [93, 57]
Bin 93 (150/150): [93, 57]
Bin 94 (150/150): [93, 57]
Bin 95 (150/150): [92, 58]
Bin 96 (150/150): [92, 58]
Bin 97 (150/150): [92, 58]
Bin 98 (150/150): [92, 58]
Bin 99 (150/150): [92, 58]
Bin 100 (149/150): [92, 57]
Bin 101 (149/150): [92, 57]
Bin 102 (149/150): [92, 57]
Bin 103 (149/150): [92, 57]
Bin 104 (149/150): [92, 57]
Bin 105 (149/150): [92, 57]
Bin 106 (149/150): [92, 57]
Bin 107 (149/150): [92, 57]
Bin 108 (149/150): [92, 57]
Bin 109 (149/150): [92, 57]
Bin 110 (150/150): [91, 59]
Bin 111 (150/150): [91, 59]
Bin 112 (150/150): [91, 59]
Bin 113 (150/150): [91, 59]
Bin 114 (150/150): [91, 59]
Bin 115 (150/150): [91, 59]
Bin 116 (150/150): [91, 59]
Bin 117 (150/150): [91, 59]
Bin 118 (150/150): [91, 59]
Bin 119 (149/150): [91, 58]
Bin 120 (149/150): [91, 58]
Bin 121 (149/150): [91, 58]
Bin 122 (149/150): [91, 58]
Bin 123 (149/150): [91, 58]
Bin 124 (149/150): [91, 58]
Bin 125 (150/150): [90, 60]
Bin 126 (150/150): [90, 60]
Bin 127 (150/150): [90, 60]
Bin 128 (150/150): [90, 60]
Bin 129 (150/150): [90, 60]
Bin 130 (150/150): [90, 60]
Bin 131 (150/150): [90, 60]
Bin 132 (150/150): [90, 60]
Bin 133 (150/150): [90, 60]
Bin 134 (150/150): [90, 60]
Bin 135 (150/150): [90, 60]
Bin 136 (150/150): [90, 60]
Bin 137 (150/150): [90, 60]
Bin 138 (150/150): [89, 61]
Bin 139 (150/150): [89, 61]
Bin 140 (150/150): [89, 61]
Bin 141 (149/150): [89, 60]
Bin 142 (149/150): [89, 60]
Bin 143 (149/150): [89, 60]
Bin 144 (149/150): [89, 60]
Bin 145 (149/150): [89, 60]
Bin 146 (150/150): [88, 62]
Bin 147 (150/150): [88, 62]
Bin 148 (150/150): [88, 62]
Bin 149 (150/150): [88, 62]
Bin 150 (150/150): [88, 62]
Bin 151 (149/150): [88, 61]
Bin 152 (149/150): [88, 61]
Bin 153 (149/150): [88, 61]
Bin 154 (149/150): [88, 61]
Bin 155 (149/150): [88, 61]
Bin 156 (149/150): [88, 61]
Bin 157 (149/150): [88, 61]
Bin 158 (149/150): [88, 61]
Bin 159 (150/150): [87, 63]
Bin 160 (150/150): [87, 63]
Bin 161 (149/150): [87, 62]
Bin 162 (149/150): [87, 62]
Bin 163 (149/150): [87, 62]
Bin 164 (149/150): [87, 62]
Bin 165 (149/150): [87, 62]
Bin 166 (149/150): [87, 62]
Bin 167 (149/150): [87, 62]
Bin 168 (149/150): [87, 62]
Bin 169 (150/150): [86, 64]
Bin 170 (150/150): [86, 64]
Bin 171 (149/150): [86, 63]
Bin 172 (149/150): [86, 63]
Bin 173 (149/150): [86, 63]
Bin 174 (149/150): [86, 63]
Bin 175 (149/150): [86, 63]
Bin 176 (149/150): [85, 64]
Bin 177 (149/150): [85, 64]
Bin 178 (149/150): [85, 64]
Bin 179 (149/150): [85, 64]
Bin 180 (149/150): [85, 64]
Bin 181 (149/150): [85, 64]
Bin 182 (149/150): [85, 64]
Bin 183 (149/150): [85, 64]
Bin 184 (149/150): [85, 64]
